other_key,together_count,to_fraction,from_fraction
workshop,3,0.0,1.0
wood:density,3,0.0,0.15
wood:age,3,0.0,0.25
windsurf,3,0.0,1.0
windows,3,0.0,0.2143
wikipedia:gl,3,0.0,1.0
wheelchair:description:pt,3,0.0,1.0
website:regulation,3,0.0,1.0
weather:anemometer,3,0.0,0.75
was:website,3,0.0,0.75
volcano:type,3,0.0,0.75
short_name:uk,3,0.0,1.0
short_name:pl,3,0.0,1.0
post:housenumber,3,0.0,0.75
seamark:ferry_route:category,3,0.0,0.75
ref:sisa_refes,3,0.0,1.0
ref:cobacia,3,0.0,0.3
ref:FR:FANTOIR,3,0.0,1.0
recycling:shoes,3,0.0,0.375
recycling:furniture,3,0.0,0.75
recycling:construction_waste,3,0.0,1.0
recording:remote,3,0.0,1.0
recognized_by,3,0.0,1.0
real_fire,3,0.0,1.0
real_ale,3,0.0,1.0
ramp:luggage,3,0.0,0.1111
railway:disused,3,0.0,0.75
railway:abandoned,3,0.0,1.0
public_building,3,0.0,1.0
protect_id,3,0.0,0.6
seamark:conspicuity,3,0.0,0.075
seamark:light:2:group,3,0.0,1.0
shoes:repair,3,0.0,1.0
seamark:light:3:character,3,0.0,0.6
ship:type,3,0.0,1.0
service:vehicle:used_truck_sales,3,0.0,1.0
service:vehicle:truck_sales,3,0.0,1.0
service:vehicle:truck_parts,3,0.0,1.0
service:vehicle:radiators,3,0.0,1.0
service:vehicle:bodywork,3,0.0,1.0
service:vehicle:battery_testing,3,0.0,1.0
service:vehicle:battery_recharge,3,0.0,1.0
service:bicycle:wheel,3,0.0,0.75
service:bicycle:screwdriver,3,0.0,0.6
service:bicycle:dealer,3,0.0,0.75
seamark:radar_reflector,3,0.0,0.0188
seamark:platform:category,3,0.0,0.0259
seamark:light:3:height,3,0.0,0.6
seamark:light:3:colour,3,0.0,0.6
official_name:dsb,3,0.0,1.0
ref_1,3,0.0,0.5
official_name:cy,3,0.0,1.0
communication:4G,3,0.0,0.375
contact:city,3,0.0,1.0
construction:amenity,3,0.0,0.6
communication:wcdma,3,0.0,0.375
communication:umts,3,0.0,0.4286
communication:gsm-r,3,0.0,0.1364
communication:amateur_radio:repeater,3,0.0,1.0
communication:4g,3,0.0,0.1071
communication:3g,3,0.0,0.12
direction:lanes,3,0.0,1.0
communication:3G,3,0.0,0.4286
collection,3,0.0,1.0
clothes:rental,3,0.0,0.75
clcfile,3,0.0,1.0
check_date:sidewalk,3,0.0,1.0
check_date:bin,3,0.0,0.5
changing_table:count,3,0.0,0.5
contact:country,3,0.0,1.0
contact:housenumber,3,0.0,1.0
contact:mastodon,3,0.0,1.0
contact:place,3,0.0,1.0
diet:carnivore,3,0.0,1.0
destroyed,3,0.0,0.1765
destination:to:backward,3,0.0,1.0
destination:ref:lanes,3,0.0,0.75
destination:ref:backward,3,0.0,0.375
demolished:bridge,3,0.0,0.75
demolished,3,0.0,0.5
day_on,3,0.0,0.75
cycleway:smoothness,3,0.0,1.0
cycleway:right:name,3,0.0,1.0
cycleway:right:foot,3,0.0,0.75
cycleway:lane,3,0.0,1.0
crater:age,3,0.0,1.0
country_code_fips,3,0.0,1.0
contact:street,3,0.0,1.0
cec:inscription_date,3,0.0,1.0
cash_withdrawal:operator,3,0.0,1.0
carriage,3,0.0,0.6
alt_name:ar,3,0.0,1.0
adress,3,0.0,1.0
addr:quarter,3,0.0,0.4286
addr:quadra,3,0.0,1.0
addr:postcode:source,3,0.0,1.0
addr:plot,3,0.0,1.0
addr:loja,3,0.0,1.0
addr:locality,3,0.0,1.0
addr2:housenumber,3,0.0,0.3
abbr,3,0.0,1.0
Note,3,0.0,0.75
NOMBRE,3,0.0,1.0
IPP:TUTELA2,3,0.0,0.75
FUNAI:OBS_AREA,3,0.0,1.0
DGPS_correction,3,0.0,1.0
official_name:crh,3,0.0,1.0
aircraft:type,3,0.0,1.0
alt_name:it,3,0.0,1.0
carpet,3,0.0,1.0
alt_name:vi,3,0.0,1.0
cargo:dry_bulk,3,0.0,1.0
capital_city,3,0.0,1.0
capacity:caravans,3,0.0,0.75
bus_bay:right,3,0.0,1.0
building:roof,3,0.0,0.15
building:facade:colour,3,0.0,1.0
brothel,3,0.0,1.0
bing,3,0.0,0.75
bike_ride,3,0.0,0.3
bicycle:lanes:conditional,3,0.0,1.0
bicycle:lanes,3,0.0,1.0
bicycle:forward,3,0.0,1.0
balcony,3,0.0,1.0
author,3,0.0,1.0
ambulance,3,0.0,1.0
diet:diabetes,3,0.0,1.0
NOM_TIPOLO,3,0.0,1.0
dirindicator,3,0.0,1.0
name:fj,3,0.0,1.0
name:lfn,3,0.0,1.0
name:kk-Arab,3,0.0,1.0
name:kbp,3,0.0,1.0
name:jam,3,0.0,1.0
name:ii,3,0.0,1.0
name:gom,3,0.0,1.0
name:gcf,3,0.0,1.0
name:fil,3,0.0,1.0
maxspeed:goods,3,0.0,0.15
name:dty,3,0.0,1.0
name:chy,3,0.0,1.0
name:ch,3,0.0,1.0
name:ady,3,0.0,1.0
name1,3,0.0,0.75
monitoring:bicycle,3,0.0,1.0
meat,3,0.0,1.0
name:lrc,3,0.0,1.0
name:mai,3,0.0,1.0
name:myv,3,0.0,1.0
name:olo,3,0.0,1.0
official_name:bg,3,0.0,1.0
disused:area,3,0.0,0.75
official_name:be-tarask,3,0.0,1.0
official_name:ba,3,0.0,1.0
official_name:ast,3,0.0,1.0
official_name:am,3,0.0,1.0
official_name:af,3,0.0,1.0
object:street,3,0.0,0.0236
notes,3,0.0,1.0
nota,3,0.0,0.75
not:width,3,0.0,1.0
not:highway,3,0.0,0.0186
name:xh,3,0.0,1.0
name:tw,3,0.0,1.0
name:pi,3,0.0,1.0
maxspeed:hgv:conditional,3,0.0,1.0
official_name:ay,3,0.0,1.0
loc_name:en,3,0.0,0.75
greenfield,3,0.0,1.0
disused:phone,3,0.0,1.0
garden,3,0.0,0.5
fuel:gasohol_91,3,0.0,1.0
fuel:diesel_comum,3,0.0,1.0
free_flying:official,3,0.0,1.0
founder,3,0.0,1.0
fixme:icao,3,0.0,1.0
ferry:cable,3,0.0,0.6
fee:conditional,3,0.0,0.2727
ep,3,0.0,1.0
end_time,3,0.0,1.0
emergency:exit,3,0.0,0.0297
disused:tunnel,3,0.0,1.0
drink:cola,3,0.0,0.75
lines,3,0.0,1.0
gps,3,0.0,1.0
drink:juice,3,0.0,0.75
gymnasium,3,0.0,1.0
info,3,0.0,0.75
health_specialty:ophthalmology,3,0.0,1.0
language:zh,3,0.0,1.0
land_area,3,0.0,0.75
kitesurf,3,0.0,1.0
isced,3,0.0,1.0
is_in:department,3,0.0,1.0
language:ch,3,0.0,1.0
indoor:area,3,0.0,0.6
historic:amenity,3,0.0,1.0
healthcare:speciality:de,3,0.0,1.0
historic:usage,3,0.0,1.0
hgv:forward,3,0.0,1.0
light:direction,3,0.0,0.0429
historic:gauge,3,0.0,1.0
historic:electrified,3,0.0,1.0
payment:ticket_restaurant,2,0.0,1.0
payment:credit,2,0.0,1.0
payment:ep_mep,2,0.0,1.0
payment:ep_minicash,2,0.0,1.0
payment:ep_monedero,2,0.0,1.0
payment:ep_monedero4b,2,0.0,1.0
payment:ethereum,2,0.0,1.0
payment:hiper,2,0.0,1.0
payment:bank_slip,2,0.0,1.0
payment:money_order,2,0.0,0.6667
payment:nfc_mobile_payments,2,0.0,1.0
payment:stripe,2,0.0,1.0
payment:sus,2,0.0,1.0
payment:tetherus,2,0.0,1.0
payment:verdecard,2,0.0,1.0
payment:phone,2,0.0,1.0
patron_saint,2,0.0,1.0
payment:android_pay,2,0.0,1.0
parking:right:surface,2,0.0,1.0
parking:left:capacity:disabled,2,0.0,1.0
parking:left:charge:conditional,2,0.0,1.0
parking:left:restriction:motorcycle:conditional,2,0.0,1.0
parking:right:hgv,2,0.0,1.0
parking:right:maxstay:conditional,2,0.0,0.5
parking:right:motorcycle,2,0.0,1.0
pastor,2,0.0,1.0
payment:all,2,0.0,1.0
pastry_shop,2,0.0,0.6667
pav,2,0.0,0.0103
payment:AME_Digital,2,0.0,1.0
payment:a_vista,2,0.0,1.0
payment:airbnb,2,0.0,1.0
payment:alimentação,2,0.0,1.0
payment:vr_alimentação,2,0.0,1.0
postal_code_2,2,0.0,1.0
pharmacy,2,0.0,1.0
phone1,2,0.0,1.0
proposed:power,2,0.0,1.0
protect_area,2,0.0,1.0
protect_title,2,0.0,1.0
pub,2,0.0,0.4
public_bookcase:type,2,0.0,0.25
public_transport:disused,2,0.0,1.0
public_transport_1,2,0.0,1.0
railway:position:exact,2,0.0,0.0606
railway:service,2,0.0,0.6667
railway:signal:direction,2,0.0,0.25
recycling:entulho,2,0.0,1.0
recycling:iron,2,0.0,1.0
parking:lane:left:capacity:disabled,2,0.0,1.0
recycling:mattresses,2,0.0,1.0
recycling:polystyrene_foam,2,0.0,1.0
proposed:generator:source,2,0.0,1.0
proposed:generator:output:electricity,2,0.0,1.0
price,2,0.0,1.0
platform_lift,2,0.0,0.5
phone2,2,0.0,0.6667
phone_alt,2,0.0,1.0
photography,2,0.0,0.6667
pilotage,2,0.0,0.0426
piste:grooming,2,0.0,1.0
place_of_worship,2,0.0,0.5
pole,2,0.0,0.0392
press,2,0.0,1.0
police:FR,2,0.0,1.0
political_division,2,0.0,1.0
polling_place,2,0.0,1.0
port_of_entry,2,0.0,0.6667
post_office:type,2,0.0,1.0
postal_code_1,2,0.0,1.0
parking:lane:right:perpendicular,2,0.0,0.5
official_name:rue,2,0.0,1.0
parking:condition:right:conditional,2,0.0,1.0
parking:condition:both:fee_per_hour,2,0.0,1.0
official_name:ms,2,0.0,1.0
official_name:mwl,2,0.0,1.0
official_name:my,2,0.0,1.0
official_name:mzn,2,0.0,1.0
official_name:nan,2,0.0,1.0
official_name:nap,2,0.0,1.0
official_name:nds-nl,2,0.0,1.0
official_name:ne,2,0.0,1.0
official_name:nv,2,0.0,1.0
official_name:olo,2,0.0,1.0
official_name:os,2,0.0,1.0
official_name:pam,2,0.0,1.0
official_name:pap,2,0.0,1.0
official_name:pms,2,0.0,1.0
official_name:rm,2,0.0,1.0
official_name:ml,2,0.0,1.0
official_name:mg,2,0.0,1.0
official_name:mai,2,0.0,1.0
official_name:kbd,2,0.0,1.0
official_name:gd,2,0.0,1.0
ref:detran,2,0.0,1.0
official_name:gv,2,0.0,1.0
official_name:ha,2,0.0,1.0
official_name:io,2,0.0,1.0
official_name:jam,2,0.0,1.0
official_name:kl,2,0.0,1.0
official_name:ltg,2,0.0,1.0
official_name:kn,2,0.0,1.0
official_name:kv,2,0.0,1.0
official_name:ky,2,0.0,1.0
official_name:la,2,0.0,1.0
official_name:lad,2,0.0,1.0
official_name:lmo,2,0.0,1.0
official_name:rmy,2,0.0,1.0
official_name:roa-tara,2,0.0,1.0
official_name:sah,2,0.0,1.0
operating_hours,2,0.0,1.0
oneway:2015-10-20--,2,0.0,1.0
oneway:2015-10-21--,2,0.0,1.0
oneway:motorcar,2,0.0,0.6667
opening_hours:atm,2,0.0,1.0
opening_hours:delivery,2,0.0,1.0
opening_hours:reception,2,0.0,1.0
operator_type,2,0.0,0.6667
oneway:2015-10-15--,2,0.0,1.0
oven,2,0.0,1.0
overtaking:backward,2,0.0,0.6667
owner:short,2,0.0,1.0
panoramax:0,2,0.0,0.0222
parcel_pickup,2,0.0,0.4
parking:both:hgv,2,0.0,1.0
oneway:2015-10-16--,2,0.0,1.0
one,2,0.0,0.5
official_name:sm,2,0.0,1.0
old_addr:housename,2,0.0,1.0
official_name:sw,2,0.0,1.0
official_name:tet,2,0.0,1.0
official_name:vec,2,0.0,1.0
official_name:wo,2,0.0,1.0
official_name:wuu,2,0.0,1.0
official_name:xmf,2,0.0,1.0
old_name:1920,2,0.0,1.0
old_phone,2,0.0,0.4
old_name:2013-2015,2,0.0,1.0
old_name:2019-2023,2,0.0,1.0
old_name:fr,2,0.0,1.0
old_name:pt,2,0.0,1.0
old_name:ru,2,0.0,1.0
old_opening_hours,2,0.0,1.0
ref:FR:GendarmerieNationale,2,0.0,1.0
sir,2,0.0,1.0
ref:nivel,2,0.0,1.0
sidewalk:left:segregated,2,0.0,1.0
source:route,2,0.0,1.0
source:steam,2,0.0,1.0
source_ref:url,2,0.0,1.0
source_ref:url:moovit,2,0.0,1.0
species:pt,2,0.0,0.0027
spur,2,0.0,1.0
stream:type,2,0.0,1.0
surface:colour,2,0.0,0.0196
surface:proposed,2,0.0,1.0
swimwear,2,0.0,1.0
taxi_type,2,0.0,1.0
taxon:family,2,0.0,0.0025
taxon:pt,2,0.0,0.0001
temp,2,0.0,0.1176
tiger:county,2,0.0,1.0
source:note:name,2,0.0,1.0
source:note,2,0.0,0.25
source:network,2,0.0,1.0
source:brand,2,0.0,1.0
size,2,0.0,0.1538
sleeping_car,2,0.0,1.0
snack,2,0.0,1.0
social_centre:for,2,0.0,1.0
socket:type2,2,0.0,0.2
source:4wd_only,2,0.0,1.0
source:email,2,0.0,1.0
source:nat_name,2,0.0,1.0
source:iata,2,0.0,1.0
source:imagery,2,0.0,0.4
source:leisure,2,0.0,0.1667
source:maxweight:hgv:conditional,2,0.0,1.0
source:name:pt,2,0.0,1.0
source:name:url,2,0.0,1.0
tour,2,0.0,1.0
tower,2,0.0,0.25
tower:type_1,2,0.0,1.0
wheelchair:step_height,2,0.0,1.0
water_characteristic,2,0.0,1.0
waterfall,2,0.0,1.0
weather:rain_gauge,2,0.0,0.0156
weather:thermometer,2,0.0,0.4
website:en,2,0.0,1.0
website:source,2,0.0,1.0
width:lanes:backward,2,0.0,1.0
was:start_date,2,0.0,0.6667
width:lanes:forward,2,0.0,1.0
wikipedia:fr,2,0.0,1.0
xmas:name,2,0.0,0.1429
youtube,2,0.0,0.6667
zona_de_fiscalizacao,2,0.0,1.0
official_name:fy,2,0.0,1.0
was:tourism,2,0.0,0.6667
was:religion,2,0.0,0.6667
tractor:parts,2,0.0,1.0
valid_from,2,0.0,1.0
tractor:repair,2,0.0,1.0
transit:forward,2,0.0,1.0
tunnel:wikidata,2,0.0,1.0
turn:lanes:both_ways,2,0.0,1.0
url:spaceapi,2,0.0,1.0
used,2,0.0,1.0
valves,2,0.0,0.1818
was:operator,2,0.0,0.5
vehicle:forward,2,0.0,1.0
viaduct,2,0.0,0.6667
viewpoint,2,0.0,1.0
was:end_date,2,0.0,1.0
was:man_made,2,0.0,0.6667
was:name,2,0.0,0.1429
sign,2,0.0,0.0909
sidewalk:both:wheelchair,2,0.0,1.0
ref:sniic,2,0.0,1.0
shoulder:smoothness,2,0.0,0.0385
seamark:cable_submarine:name,2,0.0,0.1429
seamark:landmark:conspicuity,2,0.0,0.6667
seamark:landmark:height,2,0.0,1.0
seamark:light:3:period,2,0.0,0.6667
seamark:light:3:range,2,0.0,0.5
seamark:light:3:sector_end,2,0.0,0.5
seamark:light:3:sector_start,2,0.0,0.5
seamark:mooring:category,2,0.0,0.0052
seamark:national_information,2,0.0,0.0247
seamark:production_area:category,2,0.0,1.0
seamark:radio_station:callsign,2,0.0,0.0465
seamark:signal_station_warning:category,2,0.0,0.0282
seamark:tank:category,2,0.0,0.0054
seamark:wreck:water_level,2,0.0,0.125
service:bicycle:paintjob,2,0.0,1.0
seamark:anchorage:category,2,0.0,0.0645
scuba_diving:divespot,2,0.0,1.0
scooter,2,0.0,0.5
residential:type_idn,2,0.0,0.6667
ref_2,2,0.0,1.0
reference_point,2,0.0,1.0
refitted,2,0.0,1.0
regionname,2,0.0,1.0
regulation,2,0.0,1.0
req,2,0.0,1.0
retail,2,0.0,1.0
school:language,2,0.0,1.0
reusable_packaging:accept,2,0.0,1.0
road_marking,2,0.0,0.08
ruined:building,2,0.0,0.3333
ruins:man_made,2,0.0,1.0
safety:mask:covid19,2,0.0,1.0
sand,2,0.0,0.3333
service:bicycle:vending,2,0.0,0.6667
service:electricity,2,0.0,1.0
service:scan,2,0.0,1.0
short_name:et,2,0.0,1.0
services,2,0.0,1.0
shape_area,2,0.0,1.0
shopping,2,0.0,1.0
short_name:bg,2,0.0,1.0
short_name:cnr,2,0.0,1.0
short_name:cy,2,0.0,1.0
short_name:hr,2,0.0,1.0
service:vehicle:window_tinting,2,0.0,1.0
short_name:it,2,0.0,1.0
short_name:lt,2,0.0,1.0
short_name:lv,2,0.0,1.0
short_name:mi,2,0.0,1.0
short_name:tr,2,0.0,1.0
short_name_1,2,0.0,1.0
service_hours,2,0.0,1.0
service:vehicle:wheel_balancing,2,0.0,1.0
service:vehicle:audio,2,0.0,1.0
service:vehicle:oil_filter_change,2,0.0,1.0
service:vehicle:engine,2,0.0,1.0
service:vehicle:glass_repair,2,0.0,1.0
service:vehicle:maintenance,2,0.0,1.0
service:vehicle:mecanica_general,2,0.0,1.0
service:vehicle:motorcycle,2,0.0,1.0
service:vehicle:motorcycle_customization,2,0.0,1.0
service:vehicle:paint_correction,2,0.0,1.0
service:vehicle:towing,2,0.0,1.0
service:vehicle:parts,2,0.0,1.0
service:vehicle:plating,2,0.0,1.0
service:vehicle:polishing,2,0.0,1.0
service:vehicle:reboque,2,0.0,1.0
service:vehicle:revenda_de_automóveis,2,0.0,1.0
service:vehicle:tires,2,0.0,1.0
official_name:gan,2,0.0,1.0
service:vehicle,2,0.0,1.0
official_name:fo,2,0.0,1.0
controlled_by,2,0.0,0.6667
computer:parts,2,0.0,1.0
constructed,2,0.0,0.6667
construction:building:levels,2,0.0,0.6667
construction:leisure,2,0.0,0.6667
construction:power,2,0.0,0.5
construction:public_transport,2,0.0,1.0
construction:railway:cbtc,2,0.0,1.0
construction_year,2,0.0,1.0
contact:deezer,2,0.0,1.0
contact:foursquare,2,0.0,1.0
contact:google_plus,2,0.0,1.0
contact:phone:1,2,0.0,1.0
contact:tumblr,2,0.0,1.0
contact:unit,2,0.0,1.0
contact:vimeo,2,0.0,1.0
communication:satellite,2,0.0,0.0235
communication:nr,2,0.0,0.6667
communication:military,2,0.0,0.2857
check_date:internet_access,2,0.0,1.0
car_repair,2,0.0,0.6667
casa,2,0.0,1.0
change,2,0.0,0.25
changing_table:location,2,0.0,0.1111
check_date:bicycle,2,0.0,0.2857
check_date:capacity,2,0.0,0.1
city_limit,2,0.0,0.5
communication:amateur_radio:repeater:frequency_out,2,0.0,1.0
clothes:children,2,0.0,1.0
clothes:women,2,0.0,1.0
coat_of_arms,2,0.0,1.0
code,2,0.0,1.0
college,2,0.0,1.0
communication:5g,2,0.0,0.2222
contact:website:menu,2,0.0,1.0
course,2,0.0,1.0
disused:fee,2,0.0,1.0
credit_cards,2,0.0,1.0
destination:to:forward,2,0.0,1.0
destroyed:bridge:structure,2,0.0,1.0
destroyed:surface,2,0.0,0.5
detour,2,0.0,0.08
diet:churrasco,2,0.0,0.6667
diet:lowcarb,2,0.0,1.0
diet:mineira,2,0.0,1.0
diet:salgados,2,0.0,1.0
diplomatic:services:consulate,2,0.0,1.0
diplomatic:services:registry_office,2,0.0,1.0
diplomatic:services:visa,2,0.0,1.0
disabled,2,0.0,0.1538
disused:admin_level,2,0.0,1.0
disused:boundary,2,0.0,1.0
disused:brand,2,0.0,0.3333
destination:name,2,0.0,1.0
description:ja,2,0.0,1.0
description:covid19,2,0.0,1.0
currency:JPY,2,0.0,1.0
crematorium,2,0.0,1.0
crossing:barrier,2,0.0,0.0019
cuisine:ja,2,0.0,1.0
currency:BNB,2,0.0,1.0
currency:CAD,2,0.0,1.0
currency:GBP,2,0.0,1.0
currency:PEN,2,0.0,1.0
denomination_1,2,0.0,1.0
curtain,2,0.0,1.0
cutline,2,0.0,0.0513
cycleway:left:surface,2,0.0,1.0
cycleway:separation,2,0.0,0.0444
def:opening_hours:PH,2,0.0,1.0
demolished:railway,2,0.0,0.6667
car:repair,2,0.0,1.0
cap,2,0.0,1.0
camping:parts,2,0.0,1.0
bulk_purchase,2,0.0,1.0
Rio,2,0.0,0.4
abandoned:landuse,2,0.0,0.2857
abandoned:power,2,0.0,1.0
abandoned:shop,2,0.0,0.6667
abandoned:tourism,2,0.0,0.6667
abbr_name_1,2,0.0,1.0
access:gender,2,0.0,1.0
addr2:suburb,2,0.0,1.0
addr:conscriptionnumber,2,0.0,1.0
addr:lote,2,0.0,1.0
addr:name,2,0.0,1.0
addr:neighborhood,2,0.0,1.0
addr:sector,2,0.0,1.0
addr:street:sym_ul,2,0.0,1.0
air_rescue_service,2,0.0,1.0
PERIMETER,2,0.0,1.0
Observation,2,0.0,1.0
Neighborhood,2,0.0,1.0
CLC:year,2,0.0,0.04
official_name:cv,2,0.0,1.0
AREA,2,0.0,1.0
Authority,2,0.0,0.6667
CEP_LD,2,0.0,1.0
CEP_LE,2,0.0,1.0
CLC:id,2,0.0,0.04
Escola,2,0.0,1.0
Id,2,0.0,0.25
Fonte,2,0.0,1.0
Ginásio,2,0.0,1.0
HECTARES,2,0.0,1.0
Horário de atendimento,2,0.0,1.0
IFR,2,0.0,1.0
IPP:ORGAO3,2,0.0,1.0
alt_name:gd,2,0.0,1.0
alt_name:gn,2,0.0,1.0
alt_name:hi,2,0.0,1.0
blood_donation,2,0.0,1.0
barrier:colour,2,0.0,0.6667
bases,2,0.0,1.0
bathing,2,0.0,0.125
bay,2,0.0,1.0
beef,2,0.0,1.0
bicycle:foldable,2,0.0,1.0
booking,2,0.0,1.0
attribution,2,0.0,1.0
brand_1,2,0.0,0.6667
breakfast:fee,2,0.0,1.0
bridge:name:en,2,0.0,1.0
building:levels_1,2,0.0,0.6667
building:parts,2,0.0,0.3333
building:ruian:type,2,0.0,0.6667
barometer,2,0.0,0.2222
atm:operator,2,0.0,1.0
alt_name:ja,2,0.0,1.0
amenity_3,2,0.0,1.0
alt_name:mzn,2,0.0,1.0
alt_name:oc,2,0.0,1.0
alt_name:ta,2,0.0,1.0
alt_name_4,2,0.0,1.0
alt_phone,2,0.0,1.0
alt_shop,2,0.0,1.0
animal_shelter:adoption,2,0.0,0.6667
atm:network,2,0.0,1.0
animal_training,2,0.0,0.6667
animals,2,0.0,1.0
animated,2,0.0,0.0345
apartments,2,0.0,0.4
architect:wikipedia,2,0.0,1.0
artificial,2,0.0,0.6667
disused:depot,2,0.0,0.6667
asphalt,2,0.0,1.0
disused:ferry,2,0.0,1.0
name:gsw,2,0.0,1.0
minspeed:lanes:backward,2,0.0,1.0
modalidade,2,0.0,1.0
monitoring:glonass,2,0.0,0.6667
monitoring:radiation,2,0.0,1.0
monitoring:temperature,2,0.0,0.0625
monitoring:traffic,2,0.0,0.0833
motor_vehicle:backward,2,0.0,1.0
mountain_pass,2,0.0,0.2857
music,2,0.0,1.0
name:2,2,0.0,1.0
name:aa,2,0.0,1.0
name:bjn,2,0.0,1.0
name:bridge,2,0.0,1.0
name:brx,2,0.0,1.0
name:bug,2,0.0,1.0
memorial:type,2,0.0,1.0
maxweight:hgv:conditional,2,0.0,1.0
marketplace,2,0.0,0.6667
light:count,2,0.0,0.0125
lanes:taxi:forward,2,0.0,1.0
launche,2,0.0,0.3333
lbcs:activity:name,2,0.0,1.0
leisure_1,2,0.0,1.0
leisure_4,2,0.0,1.0
levels,2,0.0,0.0029
link,2,0.0,0.4
lutheran,2,0.0,0.6667
loc_name:pt,2,0.0,1.0
local,2,0.0,1.0
local_authority:FR,2,0.0,1.0
location:transition,2,0.0,0.0042
locator,2,0.0,1.0
lottery,2,0.0,1.0
name:cnr,2,0.0,1.0
name:ja-Hira,2,0.0,1.0
kids,2,0.0,1.0
name:koi,2,0.0,1.0
note:route,2,0.0,1.0
note:url,2,0.0,1.0
note_1,2,0.0,1.0
objectid,2,0.0,0.5
official_name:als,2,0.0,1.0
official_name:arz,2,0.0,1.0
official_name:az,2,0.0,1.0
official_name:bm,2,0.0,1.0
official_name:bn,2,0.0,1.0
official_name:bpy,2,0.0,1.0
official_name:bs,2,0.0,1.0
official_name:bxr,2,0.0,1.0
disused:name_1,2,0.0,1.0
official_name:ce,2,0.0,1.0
official_name:cbk-zam,2,0.0,1.0
note:population,2,0.0,1.0
note:es,2,0.0,0.25
not:brand,2,0.0,1.0
name:tum,2,0.0,1.0
name:official,2,0.0,1.0
name:pnt,2,0.0,1.0
name:pt_BR,2,0.0,1.0
name:roa-rup,2,0.0,1.0
name:rom,2,0.0,1.0
name:sr-Latn,2,0.0,1.0
name:tyv,2,0.0,1.0
not:IBGE:CD_ADMINIS,2,0.0,0.3333
name:zh-Hant-CN,2,0.0,1.0
name:zh-Hant-HK,2,0.0,1.0
name:zh-Hant-TW,2,0.0,1.0
name_3,2,0.0,1.0
navigable,2,0.0,1.0
non_existent_levels,2,0.0,1.0
landfill:waste,2,0.0,1.0
name:ts,2,0.0,1.0
key,2,0.0,0.6667
fuel:gasoline_95,2,0.0,1.0
farmland,2,0.0,0.0083
fashion,2,0.0,1.0
fire_hydrant:position,2,0.0,0.0014
fitness_centre,2,0.0,1.0
fixed,2,0.0,1.0
fixme:housenumber,2,0.0,1.0
flag:wikidata,2,0.0,0.0213
floodplain,2,0.0,0.4
floor:material:type,2,0.0,0.4
floors,2,0.0,1.0
free_flying,2,0.0,1.0
free_flying:rigid,2,0.0,1.0
fuel:anidro,2,0.0,1.0
fuel:diesel_B,2,0.0,1.0
fuel:discount,2,0.0,1.0
events_venue,2,0.0,0.6667
etnia_nome,2,0.0,1.0
disused:toll,2,0.0,1.0
education_fee,2,0.0,1.0
dressing_room,2,0.0,1.0
keepright,2,0.0,1.0
disused:studio,2,0.0,1.0
drink:coconut_water,2,0.0,0.5
drink:soft_drink,2,0.0,0.5
earth_bank,2,0.0,0.0357
education_level:preschool,2,0.0,1.0
equestrian,2,0.0,1.0
education_level:primary,2,0.0,1.0
ele:ft,2,0.0,1.0
ele:note,2,0.0,1.0
ele:source,2,0.0,0.0198
elec:frequency,2,0.0,1.0
elec:voltage,2,0.0,1.0
fuel:gas,2,0.0,1.0
erotic,2,0.0,1.0
inauguration,2,0.0,1.0
highway:class:pl,2,0.0,0.6667
historic:man_made,2,0.0,1.0
hostel,2,0.0,1.0
hotel,2,0.0,1.0
hygrometer,2,0.0,0.2
id:cnpj,2,0.0,1.0
id:ie,2,0.0,1.0
id_spn,2,0.0,1.0
incorect:name,2,0.0,0.25
incorrect:leisure,2,0.0,0.1538
information:pt,2,0.0,0.0952
international_flights,2,0.0,1.0
internet_access:provider,2,0.0,1.0
internet_access:type,2,0.0,1.0
fuel:petrol,2,0.0,1.0
is_in:hamlet,2,0.0,1.0
historic:building,2,0.0,1.0
jetski,2,0.0,1.0
fábrica,2,0.0,1.0
grave,2,0.0,1.0
fuel:regular,2,0.0,0.6667
fuel:vpower,2,0.0,1.0
heritage:since,2,0.0,1.0
geoglyph,2,0.0,1.0
geonames:id,2,0.0,1.0
geographic,2,0.0,1.0
group,2,0.0,1.0
guardrail,2,0.0,1.0
guide_type,2,0.0,0.2
hail_and_ride,2,0.0,1.0
health_specialty:dentistry,2,0.0,1.0
health_specialty:physiotherapy,2,0.0,1.0
pet_hotel,1,0.0,1.0
pet_grooming,1,0.0,1.0
payment:wallet,1,0.0,1.0
período,1,0.0,1.0
perfumery,1,0.0,1.0
people,1,0.0,1.0
pedagogy,1,0.0,1.0
payment:whatsapp,1,0.0,1.0
payment:wechat,1,0.0,1.0
payment:website:bitcoin,1,0.0,1.0
payment:senff,1,0.0,1.0
payment:vuoncard,1,0.0,1.0
payment:varejo,1,0.0,1.0
payment:v_pay,1,0.0,1.0
payment:token,1,0.0,1.0
payment:tether,1,0.0,1.0
payment:tauste_pay,1,0.0,1.0
payment:sumup,1,0.0,1.0
payment:solana,1,0.0,1.0
payment:sem_custo,1,0.0,1.0
phone:1,1,0.0,1.0
polling_station:zone,1,0.0,1.0
plant_1,1,0.0,1.0
phone:AR,1,0.0,1.0
phone:Claro,1,0.0,1.0
plumber,1,0.0,1.0
popular name,1,0.0,1.0
